path,split_original,class,hash,duplicate_group_id,is_duplicate,kept,subset,fold
data\Split_smol\train\Benign keratosis\ISIC_0014593_downsampled.jpg,train,Benign keratosis,6080589bc5659c5fb69584728c1ecff7a48a4117b2b4f82f8e9790259b0dd1b0,,False,True,trainval,4
data\Split_smol\train\Atopic Dermatitis\2_0.jpg,train,Atopic Dermatitis,aaeae1851476d0a31aac28bc6f00b2448f6782e0ceb91ae211bcc4357e487942,,False,True,trainval,0
data\Split_smol\train\Squamous cell carcinoma\ISIC_0026492.jpg,train,Squamous cell carcinoma,74bbb0a50940d052144d85317fcf14c2f9a5e172ee3ec5f1bbc38113eb278a04,,False,True,trainval,1
data\Split_smol\val\Actinic keratosis\ISIC_0030242.jpg,val,Actinic keratosis,d21da15b541845d4401cece15bb8dc8ef138cbde8dadcac034ccc263f0aa7638,,False,True,trainval,0
data\Split_smol\train\Actinic keratosis\ISIC_0027172.jpg,train,Actinic keratosis,cd77a6ca1e6ec9c9b763922ff6e43529a7578fb24941504a556b2c6357af14c4,,False,True,trainval,0
data\Split_smol\train\Dermatofibroma\ISIC_0027188.jpg,train,Dermatofibroma,84fc3538487b0b9e212a81d0a4be9aafeac85c63934caf212b375f42b97413b0,,False,True,trainval,4
data\Split_smol\train\Melanoma\ISIC_0000173.jpg,train,Melanoma,a637f8dd37f64e544d2d801ae3eeef521ee09c7ecc2d5f1a51c236913c6e2ba1,,False,True,trainval,0
data\Split_smol\train\Vascular lesion\ISIC_0025707.jpg,train,Vascular lesion,6d6a72a9cc690b886fd2d114286074fba91a46fca1e0b3851b6d4d5a886c0981,,False,True,trainval,0
data\Split_smol\train\Benign keratosis\ISIC_0014650_downsampled.jpg,train,Benign keratosis,655896142cabf729ce530cfb03678fccdc04fdab70d5fa9daeed4fa73eb42305,,False,True,trainval,0
data\Split_smol\train\Actinic keratosis\ISIC_0029713.jpg,train,Actinic keratosis,efa11328193d6d331a79a6813592aeba98f221529878bf6311d29067e9540b04,,False,True,trainval,1
data\Split_smol\train\Actinic keratosis\ISIC_0029041.jpg,train,Actinic keratosis,cdfbbc880215d924a23dec7a238b8070fefdb8f76922b40bca97ebef99f0f12c,,False,True,trainval,3
