experiment,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_balanced_accuracy,val_balanced_accuracy
CNN_SCREEN_3_dropout05,0,1,2.132482561973585,1.9689071973164876,0.1849912739965096,0.24305555555555555,0.1716572091625907,0.15033082476146659,0.17976248782602333,0.24416433239962648
CNN_SCREEN_3_dropout05,0,2,1.82466749204599,1.6008933650122747,0.2600349040139616,0.4930555555555556,0.25258873482386784,0.4232014701842943,0.2582783041439372,0.47665732959850604
CNN_SCREEN_3_dropout05,0,3,1.8059777133751913,1.587712870703803,0.31239092495637,0.4652777777777778,0.3003427160110901,0.4085016152528101,0.3103660355902338,0.4533146591970121
CNN_SCREEN_3_dropout05,0,4,1.6502170358860888,1.458722988764445,0.3682373472949389,0.4444444444444444,0.36030988161826244,0.40109839089513344,0.36940630400882724,0.4358713182242594
CNN_SCREEN_3_dropout05,0,5,1.5625135659339333,1.3960128625233967,0.39965095986038396,0.5069444444444444,0.3839921232153113,0.464876260258835,0.3966098641581237,0.4968593498005263
CNN_SCREEN_3_dropout05,0,6,1.4809050753478605,1.2750229570600722,0.4083769633507853,0.5277777777777778,0.3980995850079903,0.47895465966707046,0.40615341743932715,0.5178677531618708
CNN_SCREEN_3_dropout05,0,7,1.4360706519081954,1.249637524286906,0.45898778359511344,0.5416666666666666,0.45433494146611725,0.518467075672958,0.4575444877922458,0.5323402088107971
CNN_SCREEN_3_dropout05,0,8,1.3567056360461116,1.227718220816718,0.49912739965095987,0.5138888888888888,0.48241400191577355,0.471580038707054,0.49418886130392436,0.5069603599015363
CNN_SCREEN_3_dropout05,0,9,1.3376961345239875,1.2282997767130535,0.46596858638743455,0.5416666666666666,0.4594179400546825,0.5011955974728401,0.466301306626584,0.5273745861981156
CNN_SCREEN_3_dropout05,0,10,1.3685519173091203,1.2860802941852145,0.45200698080279234,0.5138888888888888,0.43011420575061954,0.48179604058117026,0.45017395416392225,0.5005941770647654
CNN_SCREEN_3_dropout05,0,11,1.3225838334980644,1.2049515114890204,0.4816753926701571,0.5138888888888888,0.47620725920319745,0.48533261749636014,0.4785808380199625,0.504159239453357
CNN_SCREEN_3_dropout05,0,12,1.303031466602239,1.1012840535905626,0.49214659685863876,0.5972222222222222,0.4762468946004456,0.5519393914001758,0.48722928735088644,0.5867922926746457
CNN_SCREEN_3_dropout05,0,13,1.19550438285082,1.1139268941349454,0.5270506108202443,0.5763888888888888,0.5235929207168415,0.5532908617992651,0.5239144753508638,0.5643833290892114
CNN_SCREEN_3_dropout05,0,14,1.2149216169670198,1.0934656461079915,0.518324607329843,0.6180555555555556,0.5070068114329928,0.5709215250881917,0.5114182049506567,0.5929038281979458
CNN_SCREEN_3_dropout05,0,15,1.2221183437743528,1.083405613899231,0.49912739965095987,0.5694444444444444,0.49634409694133336,0.527977634195493,0.49597343961989043,0.5550462609286139
